selection_rank,name,source,session,duration_seconds,text_characters,annotation_pattern,expression,action,joint_speed_mean,joint_speed_p90,body_rotation_speed,body_rotation_p90,hand_rotation_speed,hand_rotation_p90,joint_positions_available,complexity_score,duration_bin,text_length_bin,complexity_bin
762,fbx_to_json_data_susu_retarget_maya/20250805/Human_susu_250804_32-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,4.7,13,expression-only,委靡,<unannotated>,0.0027760521043092012,0.007080655544996262,0.0027760521043092012,0.007080655544996262,0.0015426883473992348,0.004049808718264103,False,0.021058996739930592,q2of5,q1of5,q1of5
763,fbx_to_json_data_susu_retarget_maya/20251105/Human_0916_170_0_8_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251105,5.85,63,no-tags,<unannotated>,<unannotated>,1.972000241279602,7.647761344909668,0.017730243504047394,0.04878471791744232,0.010835664346814156,0.022510351613163948,True,0.4586312966663161,q3of5,q5of5,q3of5
764,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_53-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,8.55,21,action-only,<unannotated>,单手托下巴,0.016941940411925316,0.04282691702246666,0.016941940411925316,0.04282691702246666,0.03895724192261696,0.12047562003135681,False,0.8179750762435587,q5of5,q4of5,q5of5
765,fbx_to_json_data_susu_retarget_maya/20250825/Human_0825_22-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250825,6.1,19,action-only,<unannotated>,身体前倾缓慢后撤,0.01579885743558407,0.040811896324157715,0.01579885743558407,0.040811896324157715,0.027003081515431404,0.07485339790582657,False,0.6914764959512041,q3of5,q3of5,q4of5
766,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_134-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,4.35,17,expression-only,温和的笑容，眼中带着欣赏,<unannotated>,0.011516476981341839,0.02239375188946724,0.011516476981341839,0.02239375188946724,0.015104608610272408,0.04062412679195404,False,0.30025502155852346,q1of5,q2of5,q2of5
767,fbx_to_json_data_susu_retarget_maya/20250828/Human_0826_143-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250828,7.0,22,action-only,<unannotated>,抬头仰望,0.013643573969602585,0.03438490629196167,0.013643573969602585,0.03438490629196167,0.034603092819452286,0.10191743075847626,False,0.7029919024082448,q4of5,q4of5,q4of5
768,fbx_to_json_data_susu_retarget_maya/20251112/Human_1021_298_0_13_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251112,8.2,64,no-tags,<unannotated>,<unannotated>,1.1509370803833008,3.378424644470215,0.018367305397987366,0.04652252048254013,0.016581254079937935,0.045066531747579575,True,0.5648858975707224,q5of5,q5of5,q3of5
769,fbx_to_json_data_susu_chonglu/20260115/Human_144_139_02_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,5.15,12,expression+action,垂眸浅笑,双手自然垂落,0.48944297432899475,0.6426811218261719,0.005199034232646227,0.009903070516884327,0.0029374375008046627,0.006382783874869347,True,0.045864444210747715,q2of5,q1of5,q1of5
770,fbx_to_json_data_susu_retarget_maya/20250929/Human_0916_113_2_8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250929,3.95,18,action-only,<unannotated>,双手在胸前夸张地画一个巨大的爱心，然后用力地朝你的方向推过来,0.0355609767138958,0.09898623079061508,0.0355609767138958,0.09898623079061508,0.021772827953100204,0.06770133227109909,False,0.8061836155221369,q1of5,q3of5,q5of5
771,fbx_to_json_data_susu_retarget_maya/20251021/Human_0916_318_1_10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251021,3.55,15,action-only,<unannotated>,随着一个想象中的重音，双肩俏皮地向上耸动一下，随即莞尔一笑,0.8261368274688721,2.2057905197143555,0.014883478172123432,0.03320775926113129,0.01836990937590599,0.042010825127363205,True,0.4636528551898202,q1of5,q1of5,q3of5
772,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_34-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,7.75,20,expression+action,委屈中带着一丝俏皮,偷偷瞥了一眼用户，又快速移开视线,0.01150017324835062,0.02795914188027382,0.01150017324835062,0.02795914188027382,0.008378388360142708,0.021244211122393608,False,0.23567146913450412,q4of5,q4of5,q1of5
773,fbx_to_json_data_susu_retarget_maya/20251015/Human_0916_245_0_8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251015,5.45,18,action-only,<unannotated>,像是突然害羞了，她迅速用前臂挡住大半张脸,1.9657279253005981,6.263100624084473,0.024164823815226555,0.06463055312633514,0.02958827093243599,0.08392297476530075,True,0.860461142075928,q2of5,q3of5,q5of5
774,fbx_to_json_data_susu_retarget_maya/20251013/Human_0916_192_2_7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251013,6.3,56,no-tags,<unannotated>,<unannotated>,0.9889063835144043,1.9673631191253662,0.020551806315779686,0.04991145804524422,0.01735951565206051,0.04738164320588112,True,0.6088705436954465,q3of5,q5of5,q4of5
775,fbx_to_json_data_susu_retarget_maya/20250826/Human_0825_359-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250826,8.7,23,expression-only,苦笑,<unannotated>,0.011094769462943077,0.024802332744002342,0.011094769462943077,0.024802332744002342,0.01752120442688465,0.05360507220029831,False,0.36823009780208227,q5of5,q5of5,q2of5
776,fbx_to_json_data_susu_retarget_maya/20251110/Human_1021_271_4_2_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251110,6.75,17,action-only,<unannotated>,身体前倾，单手在眼前搭成“望远镜”，另一只手背在身后，装作侦探的样子。,1.2286014556884766,2.693547010421753,0.011523239314556122,0.026793116703629494,0.017269615083932877,0.04916553199291229,True,0.37175307603323166,q4of5,q2of5,q2of5
777,fbx_to_json_data_susu_chonglu/20260116/Human_269_165_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,3.9,13,expression+action,垂眸羞涩,双肩微内收,0.3381374478340149,1.1615924835205078,0.004316701553761959,0.010826491750776768,0.017577674239873886,0.05501778796315193,True,0.2626853507203702,q1of5,q1of5,q1of5
778,fbx_to_json_data_susu_retarget_maya/20251030/Human_1021_69_3_2_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251030,5.6,21,action-only,<unannotated>,像只小猫伸懒腰，弓起背脊，两条纤长的手臂努力向前伸，仿佛想穿过屏幕。,2.2835426330566406,5.43433952331543,0.022092901170253754,0.06387270987033844,0.016735294833779335,0.04917822405695915,True,0.6455726154169733,q2of5,q4of5,q4of5
779,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_105-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,8.7,17,expression-only,警戒,<unannotated>,0.00908900611102581,0.01900671422481537,0.00908900611102581,0.01900671422481537,0.028791071847081184,0.07829973101615906,False,0.47453728047113264,q5of5,q2of5,q3of5
780,fbx_to_json_data_susu_retarget_maya/20251103/Human_0916_133_0_7_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251103,5.8,18,action-only,<unannotated>,突然停止所有夸张动作，身体站直，看着你的方向“噗嗤”一声笑出来，肩膀随着笑意微微抖动。,1.4367237091064453,2.979982376098633,0.018029896542429924,0.0401298850774765,0.028460176661610603,0.08528313040733337,True,0.7478835839730782,q3of5,q3of5,q5of5
781,fbx_to_json_data_susu_retarget_maya/20250915/Human_0912_193-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250915,6.9,19,expression+action,嘴角的笑意不减反增，眼底闪过一丝俏皮的狡黠,双手背在身后，稍微往前倾了一点,0.015989113599061966,0.041332729160785675,0.015989113599061966,0.041332729160785675,0.02823628857731819,0.08287055790424347,False,0.7224340098853718,q4of5,q3of5,q4of5
782,fbx_to_json_data_susu_retarget_maya/20251027/Human_0916_119_4_1_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251027,4.9,39,no-tags,<unannotated>,<unannotated>,5.554957389831543,16.087486267089844,0.04192950204014778,0.10879644006490707,0.03229498118162155,0.1007176861166954,True,0.946051109475234,q2of5,q5of5,q5of5
783,fbx_to_json_data_susu_chonglu/20260119/Human_272_92_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,3.0,9,expression+action,眼神调侃,右手悬空轻指,0.9329038858413696,1.7789685726165771,0.011285029351711273,0.021221783012151718,0.01097413245588541,0.0076599810272455215,True,0.1823009780208224,q1of5,q1of5,q1of5
784,fbx_to_json_data_susu_retarget_maya/20250819/Human_0814_261-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250819,9.45,16,expression-only,困惑,<unannotated>,0.011819652281701565,0.026189586147665977,0.011819652281701565,0.026189586147665977,0.020561862736940384,0.05994555354118347,False,0.4392023346303502,q5of5,q2of5,q2of5
785,fbx_to_json_data_susu_retarget_maya/20251016/Human_0916_269_3_7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251016,5.85,20,action-only,<unannotated>,用双手抱住僵直腿的脚踝，用力向上抬，结果身体一歪，又赶紧晃动胳膊稳住。,1.8507027626037598,3.8148231506347656,0.023426437750458717,0.05797034874558449,0.009199820458889008,0.027893628925085068,True,0.5254364286465454,q3of5,q4of5,q3of5
786,fbx_to_json_data_susu_retarget_maya/20251113/Human_1021_319_1_8_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251113,4.35,20,action-only,<unannotated>,将双臂举过头顶做出一个用力的V字，然后迅速收回并交叉在胸前，有点不好意思地歪了歪头。,2.886023998260498,7.587032318115234,0.028277017176151276,0.07033724337816238,0.052322790026664734,0.16381783783435822,True,0.9591045325481123,q1of5,q4of5,q5of5
787,fbx_to_json_data_susu_retarget_maya/20250815/Human_0814_81-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250815,5.1,15,expression-only,恻隐,<unannotated>,0.006606379058212042,0.01661222241818905,0.006606379058212042,0.01661222241818905,0.01498526893556118,0.043027982115745544,False,0.2247870438531917,q2of5,q1of5,q1of5
788,fbx_to_json_data_susu_retarget_maya/20250916/Human_0912_235-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,6.85,17,expression+action,眼神中带着好奇和一丝试探,微歪着头，露出好奇的神色。,0.01567024737596512,0.03477834165096283,0.01567024737596512,0.03477834165096283,0.014621765352785587,0.044327471405267715,False,0.4564622988747502,q4of5,q2of5,q3of5
789,fbx_to_json_data_susu_retarget_maya/20250822/Human_0819_229-2_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250822,6.5,18,action-only,<unannotated>,身体后靠,0.013636085204780102,0.02615584060549736,0.013636085204780102,0.02615584060549736,0.026863878592848778,0.08089689165353775,False,0.5807918813755389,q3of5,q3of5,q4of5
790,fbx_to_json_data_susu_retarget_maya/20250821/Human_0819_144-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250821,9.7,23,action-only,<unannotated>,侧头歪脖,0.011321666650474072,0.027708595618605614,0.011321666650474072,0.027708595618605614,0.017275553196668625,0.04861190915107727,False,0.37229203912083286,q5of5,q5of5,q2of5
791,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_176-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,7.85,25,expression+action,眼神中闪烁着小得意，嘴角微微上扬,眉毛微微挑起，眼中闪过一丝促狭的光芒,0.021674415096640587,0.058377306908369064,0.021674415096640587,0.058377306908369064,0.02951173298060894,0.07122530043125153,False,0.808891576401304,q5of5,q5of5,q5of5
792,fbx_to_json_data_susu_retarget_maya/20251107/Human_0916_188_3_1_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251107,5.55,14,no-tags,<unannotated>,<unannotated>,0.1788250058889389,0.37491047382354736,0.005909794941544533,0.015028104186058044,0.0058835651725530624,0.014697365462779999,True,0.08669418445683037,q2of5,q1of5,q1of5
793,fbx_to_json_data_susu_retarget_maya/20250902/Human_0901_22-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250902,6.35,17,expression-only,认真地看着他,<unannotated>,0.010948359966278076,0.023863554000854492,0.010948359966278076,0.023863554000854492,0.022905347868800163,0.06341837346553802,False,0.4426727310968556,q3of5,q2of5,q2of5
794,fbx_to_json_data_susu_retarget_maya/20250910/Human_0910_29-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250910,6.6,21,expression+action,嘴角微翘，似乎想通过这个话题拉近距离。,双手抱胸,0.020744675770401955,0.05171447619795799,0.020744675770401955,0.05171447619795799,0.017426660284399986,0.048398762941360474,False,0.6189793879482596,q4of5,q4of5,q4of5
795,fbx_to_json_data_susu_retarget_maya/20251029/Human_1021_49_2_9_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251029,4.5,18,action-only,<unannotated>,双臂在身前交叉，然后向上向外画一个大大的圆弧，仿佛要拥抱整个清晨。,2.0832769870758057,4.502851963043213,0.02115514501929283,0.05989256501197815,0.011131832376122475,0.031237881630659103,True,0.5365180355452729,q1of5,q3of5,q3of5
796,fbx_to_json_data_susu_retarget_maya/20251020/Human_0916_302_3_9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251020,5.15,17,action-only,<unannotated>,突然直起身子，双手叉腰，对着你严肃地点点头，仿佛在说“看，就是这样”。,1.1147246360778809,3.068923234939575,0.019448934122920036,0.045317210257053375,0.026009200140833855,0.08115576207637787,True,0.7593069723419918,q2of5,q2of5,q5of5
797,fbx_to_json_data_susu_retarget_maya/20250829/Human_0826_299-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250829,8.65,19,expression-only,不服气,<unannotated>,0.014970358461141586,0.032714005559682846,0.014970358461141586,0.032714005559682846,0.022579319775104523,0.06790731102228165,False,0.5801477547586497,q5of5,q3of5,q4of5
798,fbx_to_json_data_susu_retarget_maya/20251111/Human_1021_287_3_14_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251111,6.6,25,action-only,<unannotated>,双臂交叉在胸前，身体靠着屏幕的一侧，歪着头，用脚尖有节奏地点地。,1.0886883735656738,3.3479554653167725,0.017884638160467148,0.041980721056461334,0.017395494505763054,0.04601974040269852,True,0.5524766011147334,q4of5,q5of5,q3of5
799,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_15-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,5.75,21,expression+action,俏皮,轻哼一声，故作大度地挥挥手,0.011191578581929207,0.02716311626136303,0.011191578581929207,0.02716311626136303,0.014116889797151089,0.02996235340833664,False,0.2853743821642654,q3of5,q4of5,q2of5
800,fbx_to_json_data_susu_retarget_maya/20251031/Human_1021_86_0_5_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251031,3.75,14,action-only,<unannotated>,把头完全扭过去，只用眼角的余光偷偷瞥向你，被发现后又迅速转回去,0.3156384229660034,0.6555090546607971,0.009713882580399513,0.023007169365882874,0.009170529432594776,0.02276400849223137,True,0.1857450836050058,q1of5,q1of5,q1of5
801,fbx_to_json_data_susu_retarget_maya/20250905/Human_0905_11-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250905,7.55,27,expression+action,眼神明亮，嘴角带着俏皮的笑意,轻眨眼,0.015392000786960125,0.034912727773189545,0.015392000786960125,0.034912727773189545,0.026382049545645714,0.08978873491287231,False,0.6790934903775371,q4of5,q5of5,q4of5
802,fbx_to_json_data_susu_retarget_maya/20251028/Human_0916_131_3_5_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251028,5.75,19,no-tags,<unannotated>,<unannotated>,0.7717894911766052,1.4561100006103516,0.012796279974281788,0.029596196487545967,0.004923900123685598,0.01402303110808134,True,0.2394573561888737,q3of5,q3of5,q1of5
803,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_52-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,5.15,14,action-only,<unannotated>,双手握拳高举,0.019385747611522675,0.044705964624881744,0.019385747611522675,0.044705964624881744,0.029974784702062607,0.09094110131263733,False,0.7992559680302871,q2of5,q1of5,q5of5
804,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_145-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,8.75,22,expression-only,狡黠,<unannotated>,0.016703002154827118,0.03990954905748367,0.016703002154827118,0.03990954905748367,0.014847543090581894,0.041857484728097916,False,0.4939925333894205,q5of5,q4of5,q3of5
805,fbx_to_json_data_susu_retarget_maya/20250903/Human_0901_280-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250903,4.2,17,expression-only,嘴巴微微撅起，眼神里闪过一丝不甘心。,<unannotated>,0.009729239158332348,0.021469904109835625,0.009729239158332348,0.021469904109835625,0.01908407360315323,0.05558398365974426,False,0.35019455252918286,q1of5,q2of5,q2of5
806,fbx_to_json_data_susu_chonglu/20260115/Human_152_140_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,3.8,18,expression+action,浅笑,头部微向左倾,0.17014151811599731,0.3539808988571167,0.004161409568041563,0.008657112717628479,0.001276357565075159,0.0037613357417285442,True,0.025751919234409507,q1of5,q3of5,q1of5
807,fbx_to_json_data_susu_retarget_maya/20250804/Human_747-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250804,13.05,37,action-only,<unannotated>,拍拍衣服,0.010925295762717724,0.026283439248800278,0.010925295762717724,0.026283439248800278,0.025912320241332054,0.07667482644319534,False,0.5163660742454517,q5of5,q5of5,q3of5
808,fbx_to_json_data_susu_retarget_maya/20250918/Human_0916_42_2_5_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250918,6.35,22,action-only,<unannotated>,将举起的手慢慢收回，轻轻放在自己的心口位置，头随之微微低下。,0.882188618183136,2.2069592475891113,0.014177754521369934,0.03458215296268463,0.011505859903991222,0.02806183509528637,True,0.36257755810284986,q3of5,q4of5,q2of5
809,fbx_to_json_data_susu_retarget_maya/20251104/Human_0916_166_0_8_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251104,5.5,15,no-tags,<unannotated>,<unannotated>,2.1960408687591553,6.024143695831299,0.02592933550477028,0.0623321533203125,0.01407414861023426,0.04152711108326912,True,0.6138132295719845,q2of5,q1of5,q4of5
810,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_62-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,7.2,18,expression+action,俏皮而略带赞赏,眨眨眼睛，故意用撒娇的语气,0.02114497870206833,0.05374258756637573,0.02114497870206833,0.05374258756637573,0.031905099749565125,0.10530439019203186,False,0.8645362288358397,q4of5,q3of5,q5of5
811,fbx_to_json_data_susu_retarget_maya/20250813/Human_0811_150-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250813,5.35,16,expression-only,开心,<unannotated>,0.01087935734540224,0.02501947432756424,0.01087935734540224,0.02501947432756424,0.008691142313182354,0.019644757732748985,False,0.2049242822589126,q2of5,q2of5,q1of5
812,fbx_to_json_data_susu_retarget_maya/20250922/Human_0916_27_4_7_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250922,6.45,27,action-only,<unannotated>,双臂在胸前交叉，夸张地搓了搓手臂，好像被歌词冷到了,2.1002044677734375,4.813704490661621,0.03347037360072136,0.08988931775093079,0.05938148498535156,0.18539655208587646,True,0.9803870017877799,q3of5,q5of5,q5of5
813,fbx_to_json_data_susu_retarget_maya/20251011/Human_0916_183_4_14_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251011,4.15,21,action-only,<unannotated>,双臂像风车一样，在身体两侧一上一下地胡乱转动,8.013020515441895,16.958026885986328,0.042493585497140884,0.09735618531703949,0.007820166647434235,0.028111334890127182,True,0.578359974760753,q1of5,q4of5,q4of5
814,fbx_to_json_data_susu_retarget_maya/20251106/Human_0916_184_0_4_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251106,6.65,17,action-only,<unannotated>,身体向一侧倾斜，又猛地弹回原位，像画面撕裂一样重复几次。,1.2773631811141968,3.0666520595550537,0.016567427664995193,0.04207809641957283,0.008510121144354343,0.021138647571206093,True,0.40315753496687345,q4of5,q2of5,q2of5
815,fbx_to_json_data_susu_retarget_maya/20251022/Human_1021_5_2_5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251022,8.2,26,no-tags,<unannotated>,<unannotated>,1.045799970626831,3.530324697494507,0.01592463068664074,0.03245338425040245,0.021248748525977135,0.06486567854881287,True,0.5712482910926491,q5of5,q5of5,q3of5
816,fbx_to_json_data_susu_chonglu/20260116/Human_191_70_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,4.2,9,expression+action,温柔微笑,悬空摆手示意,1.2650882005691528,2.6867284774780273,0.014069697819650173,0.03565549477934837,0.010162584483623505,0.0208236426115036,True,0.3421101062151646,q1of5,q1of5,q2of5
817,fbx_to_json_data_susu_retarget_maya/20250805/Human_830-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,5.0,26,expression-only,小忧伤,<unannotated>,0.006305721588432789,0.01584743708372116,0.006305721588432789,0.01584743708372116,0.013713630847632885,0.038994692265987396,False,0.19772058050268165,q2of5,q5of5,q1of5
818,fbx_to_json_data_susu_retarget_maya/20251010/Human_0916_160_1_8_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251010,6.85,18,action-only,<unannotated>,完成一个漂亮的伸展后，她迅速收回身体，双臂抱在胸前，带着一丝得意的笑容看着你。,1.8778042793273926,5.252837181091309,0.025690941140055656,0.06863180547952652,0.022403156384825706,0.07084620743989944,True,0.786780944368493,q4of5,q3of5,q5of5
819,fbx_to_json_data_susu_retarget_maya/20250801/Human_611-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250801,6.0,16,expression+action,尴尬,手背擦汗,0.011678935959935188,0.02805880270898342,0.011678935959935188,0.02805880270898342,0.025158829987049103,0.07215270400047302,False,0.5235171942370386,q3of5,q2of5,q3of5
820,fbx_to_json_data_susu_retarget_maya/20250923/Human_0916_43_2_8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250923,8.4,21,action-only,<unannotated>,动作戛然而止，她双手叉腰，得意地抬起下巴，冲你扬了扬眉毛。,1.171427845954895,4.206789970397949,0.01603373885154724,0.03978170081973076,0.023564327508211136,0.06694463640451431,True,0.6410374382164266,q5of5,q4of5,q4of5
821,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_116-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,5.45,15,expression+action,嘴唇微抿,眼神闪躲，不敢直视屏幕，试图移开视线,0.0164994727820158,0.03611494600772858,0.0164994727820158,0.03611494600772858,0.01411545928567648,0.03875770419836044,False,0.45569986328741197,q2of5,q1of5,q3of5
822,fbx_to_json_data_susu_retarget_maya/20250828/Human_0826_169-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250828,8.2,22,expression-only,敏感,<unannotated>,0.008593859151005745,0.019169658422470093,0.008593859151005745,0.019169658422470093,0.008176740258932114,0.023154210299253464,False,0.14796508570827638,q5of5,q4of5,q1of5
823,fbx_to_json_data_susu_retarget_maya/20250818/Human_0814_129-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250818,5.85,19,action-only,<unannotated>,低头浅笑,0.010223929770290852,0.022202732041478157,0.010223929770290852,0.022202732041478157,0.021908579394221306,0.06319703906774521,False,0.41233305289725525,q3of5,q3of5,q2of5
824,fbx_to_json_data_susu_retarget_maya/20250926/Human_0916_90_2_4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250926,7.45,15,action-only,<unannotated>,用双手捂住脸，然后猛地拿开，露出一张夸张的“痛苦”鬼脸,1.265336275100708,3.9055070877075195,0.01978759840130806,0.046894803643226624,0.027697591111063957,0.07971375435590744,True,0.7762383005573668,q4of5,q1of5,q5of5
825,fbx_to_json_data_susu_retarget_maya/20251014/Human_0916_211_3_3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251014,4.35,47,no-tags,<unannotated>,<unannotated>,4.131110191345215,9.795215606689453,0.03280137851834297,0.08456601202487946,0.012854132801294327,0.03783933445811272,True,0.6271821432327269,q1of5,q5of5,q4of5
826,fbx_to_json_data_susu_chonglu/20260119/Human_437_83_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,5.2,20,expression+action,略带好奇,头部微歪,0.13738641142845154,0.3358215391635895,0.0037034100387245417,0.007940860465168953,0.0012069290969520807,0.003202924970537424,True,0.021624250709853823,q2of5,q4of5,q1of5
827,fbx_to_json_data_susu_retarget_maya/20250825/Human_0825_80-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250825,5.85,16,action-only,<unannotated>,指尖轻弹,0.01639574207365513,0.0389164537191391,0.01639574207365513,0.0389164537191391,0.01598813757300377,0.038937006145715714,False,0.48652592280996954,q3of5,q2of5,q3of5
828,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_168-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,4.3,11,expression-only,委屈,<unannotated>,0.005597277544438839,0.01338889729231596,0.005597277544438839,0.01338889729231596,0.017394118010997772,0.056019898504018784,False,0.2732411399726575,q1of5,q1of5,q2of5
829,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_83-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,7.45,20,expression+action,得意又跃跃欲试的样子,双手背在身后，轻松地前倾身子,0.020178519189357758,0.05092455819249153,0.020178519189357758,0.05092455819249153,0.037017256021499634,0.11203837394714355,False,0.8707934588284783,q4of5,q4of5,q5of5
830,fbx_to_json_data_susu_retarget_maya/20250924/Human_0916_62_2_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250924,5.3,17,action-only,<unannotated>,双臂模仿蝴蝶翅膀，在身体两侧轻柔地上下扇动，带动身体左右摇摆。,2.543947219848633,6.304284572601318,0.030835216864943504,0.0837075486779213,0.015177818015217781,0.04048514366149902,True,0.6509359554106635,q2of5,q2of5,q4of5
